External Library Name, Link to License, License Name, Binaries using the license, URL
dirent, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32/NOTICE, MIT, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-agents.dll ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll android-emu-curl.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator.exe, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://chromium.googlesource.com/webm/libvpx/
protobuf, BSD-3-Clause, BSD-3-Clause, android-emu-metrics.dll android-emu-shared.dll android-emu-protos.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe libprotobuf.dll ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./netsimd.exe android-emu-tracing.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe, 
Qt Core, https://doc.qt.io/qt-5.12/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, lib64/vulkan/vulkan-1.dll ./emulator.exe lib64/vulkan/vk_swiftshader.dll, https://vulkan.lunarg.com/sdk/home
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/LICENSE, BSD-2-Clause, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-agents.dll ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./crashreport.exe gfxstream_backend.dll android-emu-curl.dll ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
